Age,Attrition,BusinessTravel_FK,DailyRate,Department_FK,DistanceFromHome,Education,EducationField_FK,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender_FK,HourlyRate,JobInvolvement,JobLevel,JobRole_FK,JobSatisfaction,MaritalStatus_FK,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumberProjects,WorkAccident
32,Yes,1001,1125,2001,16,1,3001,1,33,2,4000,72,1,1,5006,1,6002,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,4,0
42,No,1002,691,2002,8,4,3002,1,35,3,4001,48,3,2,5007,2,6001,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,2,0
44,No,1002,477,2001,7,4,3003,1,36,1,4000,42,2,3,5000,4,6001,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,2,0
46,No,1002,705,2002,2,4,3002,1,38,2,4000,83,3,5,5003,1,6002,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,2,0
33,No,1002,924,2001,2,3,3003,1,39,3,4001,78,3,1,5002,4,6002,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,6,0
44,No,1002,1459,2001,10,4,3004,1,40,4,4001,41,3,2,5000,4,6001,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,2,0
30,No,1002,125,2001,9,2,3003,1,41,4,4001,83,2,1,5002,3,6002,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,2,0
39,Yes,1002,895,2002,5,3,3005,1,42,4,4001,56,3,2,5008,4,6001,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,2,0
24,Yes,1002,813,2001,1,3,3003,1,45,2,4001,61,3,1,5006,4,6001,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,4,0
43,No,1002,1273,2001,2,2,3003,1,46,4,4000,72,4,1,5006,3,6000,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,6,0
50,Yes,1002,869,2002,3,2,3002,1,47,1,4001,86,2,1,5008,3,6001,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,2,0
35,No,1002,890,2002,2,3,3002,1,49,4,4000,97,3,1,5008,4,6001,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,2,0
36,No,1002,852,2001,5,4,3001,1,51,2,4000,82,2,1,5006,1,6001,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,6,0
33,No,1001,1141,2002,1,3,3001,1,52,3,4000,42,4,2,5007,1,6001,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,2,0
35,No,1002,464,2001,4,2,3004,1,53,3,4001,75,3,1,5002,4,6000,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,5,0
27,No,1002,1240,2001,2,4,3001,1,54,4,4000,33,3,1,5002,1,6000,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,2,0
26,Yes,1002,1357,2001,25,3,3001,1,55,1,4001,48,1,1,5002,3,6002,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,2,0
27,No,1001,994,2002,8,3,3001,1,56,4,4001,37,3,3,5007,3,6002,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,7,0
30,No,1001,721,2001,1,2,3003,1,57,3,4000,58,3,2,5002,4,6002,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,6,0
41,Yes,1002,1360,2001,12,3,3005,1,58,2,4000,49,3,5,5005,3,6001,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,3,0
34,No,1000,1065,2002,23,4,3002,1,60,2,4001,72,3,2,5007,3,6002,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,2,0
37,No,1002,408,2001,19,2,3001,1,61,2,4001,73,3,1,5006,2,6001,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,3,0
46,No,1001,1211,2002,5,4,3002,1,62,1,4001,98,3,2,5007,4,6002,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,2,0
35,No,1002,1229,2001,8,1,3001,1,63,4,4001,36,4,1,5002,4,6001,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,2,0
48,Yes,1002,626,2001,1,2,3001,1,64,1,4001,98,2,3,5002,3,6002,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,6,0
28,Yes,1002,1434,2001,5,4,3005,1,65,3,4001,50,3,1,5002,3,6002,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,2,0
44,No,1002,1488,2002,1,5,3002,1,68,2,4000,75,3,2,5007,1,6000,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,2,0
35,No,1000,1097,2001,11,2,3003,1,70,3,4001,79,2,3,5000,1,6001,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,2,0
26,No,1002,1443,2002,23,3,3002,1,72,3,4000,47,2,2,5007,4,6001,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,7,0
33,No,1001,515,2001,1,2,3001,1,73,1,4000,98,3,3,5005,4,6002,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,2,0
35,No,1001,853,2002,18,5,3001,1,74,2,4001,71,3,3,5007,1,6001,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,7,0
35,No,1002,1142,2001,23,4,3003,1,75,3,4000,30,3,1,5002,1,6001,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,6,0
31,No,1002,655,2001,7,4,3001,1,76,4,4001,48,3,2,5002,4,6000,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,2,0
37,No,1002,1115,2001,1,4,3001,1,77,1,4001,51,2,2,5004,3,6000,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,4,0
32,No,1002,427,2001,1,3,3003,1,78,1,4001,33,3,2,5004,4,6001,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,5,0
38,No,1001,653,2001,29,5,3001,1,79,4,4000,50,3,2,5002,4,6002,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,7,0
50,No,1002,989,2001,7,2,3003,1,80,2,4000,43,2,5,5005,3,6000,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,6,0
59,No,1002,1435,2002,25,3,3001,1,81,1,4000,99,3,3,5007,1,6002,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,2,0
36,No,1002,1223,2001,8,3,3005,1,83,3,4000,59,3,3,5000,3,6000,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,6,0
55,No,1002,836,2001,8,3,3003,1,84,4,4000,33,3,4,5003,3,6000,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,6,0
36,No,1001,1195,2001,11,3,3001,1,85,2,4001,95,2,2,5004,2,6002,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,2,0
45,No,1002,1339,2001,7,3,3001,1,86,2,4001,59,3,3,5006,1,6000,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,4,0
35,No,1001,664,2001,1,3,3003,1,88,2,4001,79,3,1,5006,1,6001,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,5,1
36,Yes,1002,318,2001,9,3,3003,1,90,4,4001,79,2,1,5006,3,6001,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,2,0
59,No,1001,1225,2002,1,1,3001,1,91,1,4000,57,2,2,5007,3,6002,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,2,0
29,No,1002,1328,2001,2,3,3001,1,94,3,4001,76,3,1,5006,2,6001,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,5,0
31,No,1002,1082,2001,1,4,3003,1,95,3,4001,87,3,1,5006,2,6002,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,2,0
32,No,1002,548,2001,1,3,3001,1,96,2,4001,66,3,2,5006,2,6001,6220,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,7,0
36,No,1002,132,2001,6,3,3001,1,97,2,4000,55,4,1,5002,4,6001,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,6,0
31,No,1002,746,2001,8,4,3001,1,98,3,4000,61,3,2,5004,4,6002,4424,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,7,0
35,No,1002,776,2002,1,4,3002,1,100,3,4001,32,2,2,5007,1,6002,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,6,0
45,No,1002,193,2001,6,4,3004,1,101,4,4001,52,3,3,5005,1,6001,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,2,0
37,No,1002,397,2001,7,4,3003,1,102,1,4001,30,3,3,5005,3,6002,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,2,0
46,No,1002,945,2000,5,2,3003,1,103,2,4001,80,3,2,5001,2,6000,5021,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,2,0
30,No,1002,852,2001,1,1,3001,1,104,4,4001,55,2,2,5002,4,6001,5126,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,2,0
35,No,1002,1214,2001,1,3,3003,1,105,2,4001,30,2,1,5006,3,6002,2859,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,2,0
55,No,1002,111,2002,1,2,3001,1,106,1,4001,70,3,3,5007,4,6001,10239,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,4,0
38,No,1000,573,2001,6,3,3003,1,107,2,4000,79,1,2,5006,4,6000,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,4,0
34,No,1002,1153,2001,1,2,3003,1,110,1,4001,94,3,2,5004,2,6001,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,6,0
56,No,1002,1400,2001,7,3,3001,1,112,4,4001,49,1,3,5004,4,6002,7260,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,6,0
23,No,1002,541,2002,2,1,3005,1,113,3,4001,62,3,1,5008,1,6000,2322,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,5,0
51,No,1002,432,2001,9,4,3001,1,116,4,4001,96,3,1,5002,4,6001,2075,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,2,0
30,No,1002,288,2001,2,3,3001,1,117,3,4001,99,2,2,5000,4,6001,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,2,0
46,Yes,1002,669,2002,9,2,3003,1,118,3,4001,64,2,3,5007,4,6002,9619,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,6,0
40,No,1001,530,2001,1,4,3001,1,119,3,4001,78,2,4,5000,2,6001,13503,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,2,0
51,No,1002,632,2002,21,4,3002,1,120,3,4001,71,3,2,5007,4,6002,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,5,0
30,No,1002,1334,2002,4,2,3003,1,121,3,4000,63,2,2,5007,2,6000,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,2,0
46,No,1001,638,2001,1,3,3003,1,124,3,4001,40,2,3,5000,1,6001,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,2,0
32,No,1002,1093,2002,6,4,3003,1,125,2,4001,87,3,2,5007,3,6002,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,6,0
54,No,1002,1217,2001,2,4,3005,1,126,1,4000,60,3,3,5005,3,6001,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,2,0
24,No,1002,1353,2002,3,2,3004,1,128,1,4000,33,3,2,5007,3,6001,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,6,0
28,No,1000,120,2002,4,3,3003,1,129,2,4001,43,3,2,5007,3,6001,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,6,0
58,No,1002,682,2002,10,4,3003,1,131,4,4001,37,3,4,5007,3,6002,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,6,0
44,No,1000,489,2001,23,3,3003,1,132,2,4001,67,3,2,5002,2,6001,2042,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,5,0
37,Yes,1002,807,2000,6,4,3000,1,133,3,4001,63,3,1,5001,1,6000,2073,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,2,0
32,No,1002,827,2001,1,1,3001,1,134,4,4001,71,3,1,5006,1,6002,2956,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,2,0
20,Yes,1001,871,2001,6,3,3001,1,137,4,4000,66,2,1,5002,4,6002,2926,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,2,0
34,No,1002,665,2001,6,4,3004,1,138,1,4000,41,3,2,5006,3,6002,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,7,0
37,No,1000,1040,2001,2,2,3001,1,139,3,4001,100,2,2,5000,4,6000,5163,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,2,0
59,No,1000,1420,2000,2,4,3000,1,140,3,4000,32,2,5,5003,4,6001,18844,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,7,0
50,No,1001,1115,2001,1,3,3001,1,141,1,4000,73,3,5,5005,2,6001,18172,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,4,0
25,Yes,1002,240,2002,5,3,3002,1,142,3,4001,46,2,2,5007,3,6002,5744,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,2,0
25,No,1002,1280,2001,7,1,3003,1,143,4,4001,64,2,1,5006,4,6001,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,3,0
22,No,1002,534,2001,15,3,3003,1,144,2,4000,59,3,1,5002,4,6002,2871,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,2,0
51,No,1001,1456,2001,1,4,3003,1,145,1,4000,30,2,3,5000,1,6002,7484,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,2,0
34,Yes,1001,658,2001,7,3,3001,1,147,1,4001,66,1,2,5002,3,6002,6074,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,6,0
54,No,1000,142,2000,26,3,3000,1,148,4,4000,30,4,4,5003,4,6002,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4,2,0
24,No,1002,1127,2001,18,1,3001,1,150,2,4001,52,3,1,5002,3,6001,2774,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,4,0
34,No,1002,1031,2001,6,4,3001,1,151,3,4000,45,2,2,5006,2,6000,4505,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0,5,0
37,No,1002,1189,2002,3,3,3001,1,152,3,4001,87,3,3,5007,4,6002,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,2,0
34,No,1002,1354,2001,5,3,3003,1,153,3,4000,45,2,3,5003,1,6002,11631,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8,5,0
36,No,1001,1467,2002,11,2,3005,1,154,2,4000,92,3,3,5007,4,6001,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,6,0
36,No,1002,922,2001,3,2,3001,1,155,1,4000,39,3,1,5002,4,6000,2835,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0,2,0
43,No,1001,394,2002,26,2,3001,1,158,3,4001,92,3,4,5003,4,6001,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,2,0
30,No,1001,1312,2001,23,3,3001,1,159,1,4001,96,1,1,5006,3,6000,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,4,1
33,No,1000,750,2002,22,2,3002,1,160,3,4001,95,3,2,5007,2,6001,6146,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7,2,0
56,Yes,1002,441,2001,14,4,3001,1,161,2,4000,72,3,1,5006,2,6001,4963,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3,4,0
51,No,1002,684,2001,6,3,3001,1,162,1,4001,51,3,5,5005,3,6002,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15,6,1
31,Yes,1002,249,2002,6,4,3001,1,163,2,4001,76,1,2,5007,3,6001,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,2,0
26,No,1002,841,2001,6,3,3004,1,164,3,4000,46,2,1,5006,2,6001,2368,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3,6,0
58,Yes,1002,147,2001,23,4,3003,1,165,4,4000,94,3,3,5000,4,6001,10312,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,2,0
19,Yes,1002,528,2002,22,1,3002,1,167,4,4001,50,3,1,5008,3,6002,1675,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,3,0
22,No,1002,594,2001,2,1,3005,1,169,3,4001,100,3,1,5002,4,6001,2523,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1,6,0
49,No,1002,470,2001,20,4,3003,1,170,3,4000,96,3,2,5004,1,6001,6567,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11,2,0
43,No,1001,957,2001,28,3,3003,1,171,2,4000,72,4,1,5006,3,6002,4739,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2,6,0
50,No,1001,809,2002,12,3,3002,1,174,3,4000,77,3,3,5007,4,6002,9208,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1,2,0
31,Yes,1002,542,2002,20,3,3001,1,175,2,4000,71,1,2,5007,3,6001,4559,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2,5,0
41,No,1002,802,2002,9,1,3001,1,176,3,4001,96,3,3,5007,3,6000,8189,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7,2,0
26,No,1002,1355,2000,25,1,3001,1,177,3,4000,61,3,1,5001,3,6001,2942,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7,2,0
36,No,1002,216,2001,6,2,3003,1,178,2,4001,84,3,2,5004,2,6000,4941,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1,7,0
51,Yes,1001,1150,2001,8,4,3001,1,179,1,4001,53,1,3,5004,4,6002,10650,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3,6,1
39,No,1002,1329,2002,4,4,3001,1,182,4,4000,47,2,2,5007,3,6001,5902,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9,2,0
25,No,1002,959,2002,28,3,3001,1,183,1,4001,41,2,2,5007,3,6001,8639,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2,4,0
30,No,1002,1240,2000,9,3,3000,1,184,3,4001,48,3,2,5001,4,6001,6347,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7,5,0
32,Yes,1002,1033,2001,9,3,3003,1,190,1,4000,41,3,1,5002,1,6002,4200,10224,7,Y,No,22,4,1,80,0,10,2,4,5,4,0,4,6,0
45,No,1002,1316,2001,29,3,3003,1,192,3,4001,83,3,1,5006,4,6002,3452,9752,5,Y,No,13,3,2,80,0,9,2,2,6,5,0,3,2,0
38,No,1002,364,2001,3,5,3005,1,193,4,4000,32,3,2,5006,3,6002,4317,2302,3,Y,Yes,20,4,2,80,0,19,2,3,3,2,2,2,6,0
30,No,1002,438,2001,18,3,3001,1,194,1,4000,75,3,1,5006,3,6002,2632,23910,1,Y,No,14,3,3,80,0,5,4,2,5,4,0,4,2,0
32,No,1001,689,2002,9,2,3003,1,195,4,4001,35,1,2,5007,4,6000,4668,22812,0,Y,No,17,3,4,80,3,9,2,4,8,7,0,7,4,0
30,No,1002,201,2001,5,3,3005,1,197,4,4000,84,3,1,5006,1,6000,3204,10415,5,Y,No,14,3,4,80,1,8,3,3,3,2,2,2,2,0
30,No,1002,1427,2001,2,1,3003,1,198,2,4001,35,2,1,5002,4,6002,2720,11162,0,Y,No,13,3,4,80,0,6,3,3,5,3,1,2,4,0
41,No,1001,857,2001,10,3,3001,1,199,4,4001,91,2,4,5003,1,6000,17181,12888,4,Y,No,13,3,2,80,1,21,2,2,7,6,7,7,6,0
41,No,1002,933,2001,9,4,3001,1,200,3,4001,94,3,1,5002,1,6001,2238,6961,2,Y,No,21,4,4,80,1,7,2,3,5,0,1,4,4,1
19,No,1002,1181,2001,3,1,3003,1,201,2,4000,79,3,1,5002,2,6002,1483,16102,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0,2,0
40,No,1001,1395,2001,26,3,3003,1,202,2,4000,54,3,2,5006,2,6000,5605,8504,1,Y,No,11,3,1,80,1,20,2,3,20,7,2,13,6,0
35,No,1002,662,2002,1,5,3002,1,204,3,4001,94,3,3,5007,2,6001,7295,11439,1,Y,No,13,3,1,80,2,10,3,3,10,8,0,6,2,0
53,No,1002,1436,2002,6,2,3002,1,205,2,4001,34,3,2,5008,3,6001,2306,16047,2,Y,Yes,20,4,4,80,1,13,3,1,7,7,4,5,2,0
45,No,1002,194,2001,9,3,3001,1,206,2,4001,60,3,2,5002,2,6000,2348,10901,8,Y,No,18,3,3,80,1,20,2,1,17,9,0,15,2,0
32,No,1001,967,2002,8,3,3002,1,207,2,4000,43,3,3,5007,4,6002,8998,15589,1,Y,No,14,3,4,80,0,9,2,3,9,8,3,7,2,0
29,No,1000,1496,2001,1,1,3005,1,208,4,4001,41,3,2,5004,3,6001,4319,26283,1,Y,No,13,3,1,80,1,10,1,3,10,7,0,9,6,0
51,No,1002,1169,2001,7,4,3003,1,211,2,4001,34,2,2,5004,3,6001,6132,13983,2,Y,No,17,3,3,80,0,10,2,3,1,0,0,0,5,0
58,No,1002,1145,2001,9,3,3003,1,214,2,4000,75,2,1,5006,2,6001,3346,11873,4,Y,Yes,20,4,2,80,1,9,3,2,1,0,0,0,6,0
